filename,chroma_stft_mean,chroma_stft_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,peak_value,Class
Sudh Kalyan.mp3: part 2.mp3,0.29281345,0.30655885,0.1691198,0.079465516,1576.115229,412.756353,2125.872742,301.7651711,2906.664254,974.6184022,0.030102715,0.014459258,-187.3049,31.640284,174.38338,16.647062,-32.73149,15.570142,22.266668,11.465578,-7.9749336,11.963222,7.5355525,11.585954,-1.2709398,11.289866,-9.434235,9.606632,-6.7805386,10.580175,-12.558976,8.955447,-12.412933,8.806931,-11.870711,7.6624846,-5.8186965,8.499795,-12.3464,7.928812,-5.4769225,7.4172916,-5.2097583,6.8304505,-9.402884,6.6831045,-3.0457613,6.9081354,-1.2696532,7.09083,-4.573236,8.218454,0.9527558,Hindustani
Sudh Kalyan.mp3: part 3.mp3,0.3437653,0.3025505,0.14900753,0.070053,1507.369465,424.6911617,2074.872806,384.9546943,2781.405161,1050.81383,0.029772667,0.012676812,-193.6736,48.161015,181.7919,24.080963,-27.362917,13.048504,23.475128,11.17951,-8.339741,11.320941,9.686663,11.537146,2.5985768,9.236397,-7.420835,9.219036,-5.9576387,9.871953,-11.587821,8.483238,-10.9763775,8.472491,-9.67421,6.7796273,-2.8538716,7.857482,-8.417409,8.059283,-4.3867564,7.000165,-4.5996437,6.9097447,-8.853871,6.5362954,-3.487145,6.511819,0.3827205,6.9262686,-2.2075953,7.232513,0.95544046,Hindustani
Raageshree.mp3: part 1.mp3,0.34204307,0.2995642,0.14258178,0.058810394,1486.255929,399.4526453,2004.556561,261.7822358,2759.659691,798.7237465,0.031540285,0.019585147,-189.38304,37.948196,188.03223,17.750532,-30.654924,11.340539,20.322258,8.915699,-1.5063289,8.852952,7.8392787,9.574675,-0.2733259,8.00062,-5.0798755,7.2615414,-4.986877,8.1308155,-14.233883,8.059896,-9.695715,8.803349,-6.68592,6.9412107,-3.7925012,7.2236753,-8.796616,7.1033654,-3.2488763,7.2669783,-0.5295901,7.308214,-3.784176,6.522011,-0.26316163,5.7238126,1.9454023,6.346461,-2.4948895,6.8365364,0.94371223,Hindustani
Raageshree.mp3: part 2.mp3,0.32233423,0.3077122,0.17304668,0.07369681,1583.011826,364.5772211,2070.02333,297.7091917,2929.950562,856.0572903,0.032964085,0.012925757,-171.2673,30.225843,186.84679,14.300529,-39.291782,11.992145,22.845818,10.145419,-5.635983,10.829768,7.9399986,10.451865,-1.7907121,9.222204,-3.7581906,9.09124,-9.989112,9.720559,-12.102168,7.399504,-6.949103,8.610544,-7.6758175,7.1221023,-2.2847104,7.84687,-6.232487,7.7759852,-2.5156589,7.2990456,-2.2681777,6.8071475,-3.369856,6.270155,0.29926035,6.440593,2.8103154,7.24872,-5.5385504,7.196438,0.9430319,Hindustani
Raageshree.mp3: part 3.mp3,0.34190032,0.30344915,0.15222192,0.06938725,1568.067585,394.2686826,2079.935258,381.9601872,2943.125753,913.427522,0.032645376,0.011316967,-181.95613,56.60646,184.04472,26.919777,-34.2004,13.453666,22.757696,10.79302,-3.2393117,9.944753,9.147179,11.186854,-0.6293842,8.654859,-3.5656307,8.211461,-10.2619095,10.468738,-10.872519,7.6961846,-5.576189,8.154604,-6.713753,7.1073155,-0.7134308,7.602757,-6.629684,7.501215,-3.2523894,7.180493,-1.2132266,7.361803,-2.6548586,6.351211,0.3129639,6.7856107,3.3093657,7.402098,-4.1608796,7.2827544,0.9483947,Hindustani
Raag Bhoopali.mp3: part 1.mp3,0.34222403,0.30594915,0.037959903,0.031032836,1526.223402,552.6545725,2371.655879,433.7656913,2674.732246,1292.34525,0.027783962,0.019330371,-355.9398,42.050068,149.56529,20.731924,0.69383323,13.453606,5.345679,11.428525,14.259494,11.63662,9.807783,10.11424,-2.3460836,9.04786,-5.788712,8.951113,-9.199926,7.454788,-12.194896,8.950621,-6.474657,9.176252,-5.552693,7.8842587,-9.372495,7.7239447,-2.9012904,7.601641,0.2679334,6.852725,-7.760312,7.989856,-8.002645,6.8690863,-3.065775,6.2533007,-0.86997664,6.3631196,-5.18029,7.34139,0.56524533,Hindustani
Raag Bhoopali.mp3: part 2.mp3,0.3266074,0.30904987,0.039727345,0.042206068,1731.618545,465.5252474,2319.719087,411.6334104,3171.953726,1153.36967,0.037111011,0.017150172,-319.92926,40.249977,137.53363,21.432499,-8.278355,15.473428,-0.6946265,10.244439,11.565032,13.542617,3.4411817,10.985184,-2.168058,9.796766,-4.9767604,9.930164,-10.730018,7.3941298,-12.125801,8.109701,-3.866534,7.6345625,-4.446342,8.701127,-8.658729,8.192346,-1.2834275,7.3203106,1.8294156,6.548428,-4.925232,7.778732,-5.968193,7.1677275,-1.7384859,6.14908,-2.3044798,6.4687867,-5.149399,7.4928513,0.754858,Hindustani
Raag Bhoopali.mp3: part 3.mp3,0.36730495,0.3103868,0.047862645,0.038156815,1658.757694,526.037796,2328.040307,550.4636087,3081.359593,1459.124996,0.033183987,0.013334368,-289.02875,46.78004,150.91794,23.591135,-3.9388022,15.502208,1.8859204,11.709493,10.578937,15.350622,5.6127687,12.023772,-1.1803561,10.221033,-2.2086103,10.260393,-7.683252,8.435797,-8.859442,7.8547072,-0.3252115,7.3897047,-1.1147242,8.913807,-6.1662035,8.346202,0.86870986,7.0468416,2.5948293,7.0072174,-5.5198193,9.666834,-6.5424056,7.625425,-1.6822201,6.0199623,-1.2897158,6.4978914,-3.2805152,7.085126,0.87373984,Hindustani
Raag Gavti.mp3: part 1.mp3,0.344415,0.30991736,0.043452423,0.034060985,1661.267373,448.8016012,2393.539922,410.0113816,3030.079237,1163.843309,0.032085292,0.016515073,-310.02612,33.45081,148.51549,18.816202,-7.0628433,14.044733,5.5406413,9.965515,10.8096,11.593974,8.561689,11.846073,0.034384426,9.790585,-6.8933525,8.936693,-9.060786,7.7972646,-12.665943,8.430652,-4.0669613,7.7523375,-5.9892473,7.4882207,-10.836589,7.858148,-1.8351218,7.427044,0.9794591,6.359338,-3.885796,7.0613008,-6.2335067,6.649494,-2.7579315,6.1343665,-0.98819005,6.0736585,-4.2079844,6.3884106,0.64844483,Hindustani
Raag Gavti.mp3: part 2.mp3,0.32852668,0.31505316,0.039814565,0.03297377,1630.747829,469.8123581,2217.087351,490.8000217,2989.15544,1271.005488,0.033426208,0.012517147,-318.79852,42.667534,147.39981,21.684366,-8.254103,15.535547,-0.39712685,11.308446,10.200073,13.437951,1.2419763,12.206916,-2.6214013,10.375619,-2.5988402,10.1301565,-10.718896,8.350364,-11.564591,8.347194,-1.7401682,8.0288515,-2.2666492,8.854465,-7.685689,7.93327,-1.5139836,7.3314652,0.9385219,6.653157,-5.0257792,7.986102,-5.5724673,7.6220837,-0.662934,6.473169,-0.70975804,6.4944286,-3.604547,7.581028,0.59344757,Hindustani
Raag Gavti.mp3: part 3.mp3,0.35075125,0.31416526,0.05306778,0.03589409,1595.886392,518.0638,2241.110034,571.7717627,2907.857059,1457.070476,0.031512191,0.011151196,-288.92438,49.712967,163.64919,23.696093,-9.582183,14.853954,4.982355,11.892821,5.259346,14.961105,4.1446166,12.836298,-3.15904,11.263494,-2.957948,10.600558,-8.231487,9.002925,-10.484677,8.458895,-0.1670341,7.8554597,1.3957117,9.440062,-5.1163144,8.353502,-0.8148913,7.1612406,-0.6687901,6.4847574,-7.4072905,9.10304,-6.572515,7.373266,-1.027447,6.118648,0.20068987,6.541015,-3.1898577,7.5033116,0.6322386,Hindustani
Raag Multani.mp3: part 1.mp3,0.3292474,0.3074189,0.06876527,0.046609536,1429.372773,380.3697996,2064.227412,271.8078291,2640.380619,775.002075,0.027938299,0.016110129,-285.77148,31.681438,160.1746,15.997562,-16.020937,12.794468,11.004414,9.491889,18.566854,10.608011,8.061323,9.977229,-2.6397862,8.592992,-9.457294,7.173503,-9.840286,7.097249,-11.893935,9.409326,-7.1902676,7.4279995,-7.845361,7.3915896,-14.833765,7.3820505,-4.0201087,6.945499,0.092958644,7.1493196,-6.5967665,6.407725,-10.746872,7.1934533,-1.6327133,6.2090015,-6.6211762,6.6997986,-5.219263,6.7530594,0.53650296,Hindustani
Raag Multani.mp3: part 2.mp3,0.27500916,0.30898136,0.10063983,0.07182842,1528.854742,391.7434737,1935.297418,289.6346783,2908.547426,872.6270951,0.03337843,0.015421721,-260.19617,48.22883,161.32445,22.6894,-29.82325,15.991034,14.806559,11.819791,12.0802145,16.22381,-4.807787,11.526975,-4.9057965,11.26577,-7.137546,9.423534,-11.38665,8.655186,-13.7033615,8.702741,-9.894733,8.288506,-5.025738,8.90903,-7.9227633,8.963517,-4.966286,7.140067,0.11440348,7.345274,-6.6391344,7.1873736,-10.3183365,7.892732,-2.3395228,7.016376,-2.1013324,6.9581475,-7.1700597,9.135039,0.5619292,Hindustani
Raag Multani.mp3: part 3.mp3,0.32089788,0.3130985,0.08433322,0.056390774,1478.764574,460.7928016,1896.734753,402.7641167,2871.387621,1083.602166,0.030515411,0.013378338,-263.32074,56.818096,162.47612,26.663172,-19.072168,19.295,14.196248,14.824529,11.819173,17.994684,-6.6132045,13.580096,-4.17727,10.836371,-5.763079,10.697974,-10.299957,9.789182,-12.967132,8.987476,-8.6085005,8.129991,-1.2975836,10.012787,-3.2526991,8.748334,-5.2830305,7.7229133,-4.4337626,7.4902635,-9.653219,8.098456,-9.79248,8.031466,-2.8079212,6.727931,-3.9613132,7.1175604,-8.484602,8.850931,0.609846,Hindustani
Raag Lalit.mp3 (2): part 1.mp3,0.33219224,0.30532813,0.051631216,0.033932693,1641.2526,360.7907599,2249.451738,252.5864386,2854.699637,883.4918509,0.036581577,0.01743408,-287.73294,30.474466,161.21089,13.957598,-21.164251,14.448855,4.485011,12.641351,1.2539622,11.634604,9.278969,9.468344,6.793646,8.214188,-5.2369103,7.5636578,-8.515343,7.022835,-13.399194,9.110114,-5.984504,8.60248,-3.8999217,8.767737,-3.0831192,8.071174,4.563588,7.888621,-3.6291535,7.580167,-11.312739,7.972847,-1.7135963,7.115402,1.1391145,6.5618653,-0.60685515,6.510092,1.337732,6.421137,0.66195416,Hindustani
Raag Lalit.mp3 (2): part 2.mp3,0.29396147,0.30917642,0.06358256,0.043437336,1566.934142,462.1664958,2061.589275,359.4354734,2769.425588,1167.340591,0.034028381,0.012949215,-286.4247,40.510128,160.66849,18.502436,-20.185162,15.345201,5.184434,13.896981,-2.720548,14.901417,-0.97276837,10.858409,3.287882,10.236399,-5.6654444,10.598428,-6.8259044,8.681755,-10.370193,9.883928,-4.439217,8.911683,-1.304243,9.189028,-1.4488198,7.7932854,4.8442535,8.460426,-0.6440477,7.7902064,-9.3386755,7.54719,-5.517177,8.537581,1.2281098,7.4091554,0.6454527,7.2234106,-3.1359155,9.112443,0.6967959,Hindustani
Raag Lalit.mp3 (2): part 3.mp3,0.30730164,0.31236133,0.07113926,0.05410077,1714.05749,527.4063501,2124.848477,389.8700219,3155.291915,1270.850295,0.037661465,0.014300965,-261.87268,51.702717,154.95557,21.996775,-23.41706,16.822948,6.0047517,15.3613,-2.987155,15.686498,-1.1711864,10.391128,2.795923,11.383222,-5.3058987,11.409607,-6.532798,8.658254,-8.0548525,9.709771,-1.7680963,8.780928,-0.45199817,9.347693,-0.46947286,7.7736397,3.6356468,9.094402,-2.5357082,8.279461,-9.489922,8.121454,-5.1891685,7.7195625,0.9152549,6.921437,-0.23921679,7.6001935,-3.219074,9.007917,0.75289977,Hindustani
Raag Bibhas.mp3: part 1.mp3,0.323578,0.30536273,0.048776537,0.032735165,1703.9973,485.3354914,2246.63999,333.5603557,3186.046237,1175.489006,0.039828944,0.021358685,-296.17404,31.774773,159.06297,16.929087,-24.270914,15.510864,13.266553,12.449103,0.3760397,12.596638,5.5971155,10.095169,6.2101917,9.379904,-5.2530084,8.986889,-7.200599,8.610622,-10.7413,10.114184,-0.95252424,8.664795,-5.4089036,9.6386,-4.634819,8.211255,5.737516,8.265703,-3.798631,7.946352,-9.54596,8.190695,-2.304681,7.588649,3.5301273,7.361595,2.5843933,7.692112,0.49308482,7.1156445,0.65073025,Hindustani
Raag Bibhas.mp3: part 2.mp3,0.2895517,0.3088436,0.058123045,0.04441212,1681.228827,521.9581252,2111.632265,382.7137819,3077.077158,1253.956063,0.036903841,0.016943435,-283.5224,39.17612,153.16313,19.796589,-20.783915,16.949387,3.9859471,14.306627,-0.055834424,14.540381,-0.42109126,10.706256,5.8177195,11.048377,-5.827583,10.836525,-8.972307,9.643599,-7.501203,10.591828,-0.61351585,9.222928,-2.15294,9.215654,-3.9925857,8.402882,3.9509397,9.02446,0.789243,8.29178,-6.5048995,7.54039,-1.9271737,7.4285455,3.5991547,7.1702466,1.1222285,7.9803295,-1.8962355,8.334874,0.7079203,Hindustani
Raag Bibhas.mp3: part 3.mp3,0.32132852,0.30883104,0.06400156,0.044093687,1748.74316,600.5482193,2135.409511,474.0322627,3280.860838,1424.031622,0.038645566,0.014855494,-262.7812,57.985394,158.46951,27.291424,-25.704422,15.703897,9.486717,15.912176,-4.5083103,15.723001,0.055211354,10.671835,4.6689844,11.350202,-6.2561817,11.384383,-7.023241,9.047401,-5.5099783,9.664741,1.9991826,8.962203,-1.1485469,9.488427,-2.205007,7.7812233,2.9105856,8.756663,-2.3062916,8.36986,-6.146401,8.059571,-2.5337691,7.4708633,2.0645232,6.982632,1.403815,7.875508,-2.811484,7.893125,0.73606014,Hindustani
Raag Marwa.mp3 (3): part 1.mp3,0.3438696,0.30029127,0.049941033,0.034037806,2105.328676,643.1973426,3421.208186,554.7752696,3940.384588,2335.683917,0.033412485,0.019495497,-305.59106,38.177044,145.24828,14.313851,16.183039,13.354638,-0.6479706,9.77629,-0.86650854,11.117936,29.293385,10.664979,2.1638556,7.002958,-6.6420507,7.869548,-18.669851,7.990541,-1.4570134,7.4012575,-2.4469352,7.7442236,2.663809,7.0764036,-9.296227,7.1714277,-3.8474395,5.8187356,-0.5217508,6.4921594,-2.7047036,5.7886558,-2.7339113,6.200597,0.061045423,5.6508594,-0.8033662,5.037308,-4.0129795,5.6029744,0.73800075,Hindustani
Raag Marwa.mp3 (3): part 2.mp3,0.30075157,0.30916032,0.054872263,0.04770991,1740.358684,404.2453852,2707.294808,442.4015502,2580.806025,928.8227829,0.035104426,0.014183639,-307.56195,31.855864,156.17676,16.096275,1.2484258,16.333242,-14.504588,9.843496,4.941208,13.503212,14.587332,10.405947,-1.7024307,8.494194,-11.959995,8.324159,-10.70671,7.263137,-5.4390364,7.248791,0.85986394,7.976354,3.7564852,7.685075,-4.390305,8.145524,-0.9955561,6.3331957,3.470748,7.02034,-2.3937078,5.97791,-5.4737334,6.5513587,-0.43957746,5.8922358,-2.2606454,5.692948,-8.436189,7.112572,0.73221326,Hindustani
Raag Marwa.mp3 (3): part 3.mp3,0.32820776,0.30926186,0.052423846,0.03884856,1703.64287,479.1492644,2717.331137,562.1401566,2802.439023,1436.863398,0.031411116,0.012717153,-301.97507,43.866806,159.46185,23.6034,7.3505692,14.213526,-2.0092762,10.871224,2.5612283,17.475624,11.185081,11.44765,1.3547261,8.23161,-10.241302,9.009013,-6.5419006,8.414853,-3.9008842,7.3971767,-2.2701297,7.2722936,4.5575776,7.55275,-0.90518427,8.494048,0.8047263,6.5148873,1.3399456,7.598707,-6.497632,7.864692,-6.232971,6.828355,-0.011467096,6.001019,-2.812969,5.5055857,-6.6714573,6.597801,0.7283221,Hindustani
Raag Shree.mp3 (4): part 1.mp3,0.3149059,0.298296,0.036611956,0.023567032,1460.033225,280.4065499,2079.01984,364.1576429,2398.90328,528.9138041,0.034059433,0.012495011,-335.748,33.84326,184.24234,16.943403,-19.955044,14.762456,-5.239469,10.457598,14.321878,9.961245,-3.5830119,10.877528,-6.15411,8.708469,-2.6508896,7.245767,-13.731853,7.2589808,-6.4192805,8.672684,1.7114856,6.23166,-2.5264614,8.128217,-5.1670146,6.6675444,0.1283211,6.8940907,0.9719385,7.161697,-4.1082253,5.893741,-5.3812256,7.5157003,-2.8824198,6.8153033,-1.9726001,6.085574,-3.868816,6.44677,0.38963783,Hindustani
Raag Shree.mp3 (4): part 2.mp3,0.28793418,0.30645624,0.046825755,0.037091505,1510.442716,339.5346335,2012.353046,364.649184,2467.971906,725.5661385,0.037573744,0.014088357,-323.55527,32.71502,173.88953,21.301079,-19.231468,14.508402,-10.670425,10.368834,11.017105,11.280007,-7.901252,11.296345,-6.1891856,8.923404,-3.9437757,7.7661076,-12.870924,7.75518,-7.4393563,8.922875,2.676708,6.294483,-0.69917864,7.666515,-2.3731678,6.6149793,-0.48315763,6.105287,-1.4929309,6.4155335,-2.984103,6.6079087,-4.669114,7.7389627,-1.097027,6.415706,0.19601776,6.2395277,-3.6169138,7.461439,0.4703254,Hindustani
